,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,balanced_accuracy,fall_out,accuracy,precision,negative_likelyhood_ratio,negative_predictive_value,specificity,f1_score,matthews_correlation_coefficient,false_discovery_rate,miss_rate,diagnostic_odds_ratio,prevalence_threshold,positive_likelyhood_ratio,false_omission_rate,prevalence,recall,markedness,fowlkes_mallows_index,threat_score,informedness,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005282769016,1.0,True,0.4911893376182431,0.955302300754445,0.4911893376182431,0.4953456205926419,1.394233373550341,0.41767022841099577,0.04469769924555505,0.6482450026782236,-0.039150682931277395,0.5046543794073581,0.062319024009068746,0.7040099660416453,0.502327240120347,0.9815541899673041,0.5823297715890042,0.5,0.9376809759909313,-0.08698415099636225,0.6815248821357457,0.4795580589401092,-0.017621324763513746,0.47484284412846267,0.4931785884157271,852.9268498420715,271.59752368927,1726773008.1641536,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.4608352184295654,0.002986907958984375,9.059906005859375e-06,2.384185791015625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005282769016,1.0,True,0.4928132140011358,0.9554837488388883,0.4928132140011358,0.49621068806477,1.3228837025316453,0.4304993826897697,0.04451625116111167,0.6498047023420521,-0.03245671078094703,0.50378931193523,0.05888982315884006,0.7445527958633309,0.5018946831735439,0.9849567593219715,0.5695006173102303,0.5,0.9411101768411599,-0.0732899292454603,0.6833658817903548,0.481267194063855,-0.014373571997728374,0.44963081829051754,0.45795986604948763,852.9268498420715,271.59752368927,1726773008.1641536,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.4608352184295654,0.002986907958984375,9.059906005859375e-06,2.384185791015625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005282769016,1.0,True,0.4965260313774261,0.9536360284608992,0.49652603137742607,0.4981719073148611,1.1498563866403961,0.4651473494760785,0.04636397153910072,0.6528153765940443,-0.01596419437121499,0.5018280926851388,0.05331190878424852,0.8633376122294829,0.5009140493972645,0.9927142672489406,0.5348526505239215,0.5,0.9466880912157515,-0.03668074320906034,0.686741153589339,0.48457751465689597,-0.006947937245147751,0.49441716520706525,0.5167826595671703,875.6899774074554,273.59510946273804,1726774158.5025182,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.0015859603881836,0.003014087677001953,9.775161743164062e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005282769016,1.0,True,0.49738722358938686,0.9536787979907816,0.49738722358938686,0.49862639588034485,1.1128112526135716,0.47330304529710765,0.04632120200921846,0.6536251494171971,-0.012111324776776497,0.5013736041196551,0.051546754830444685,0.8937010963343984,0.5006868033556828,0.9945206364740041,0.5266969547028924,0.5,0.9484532451695553,-0.028070558822547498,0.6876945712305081,0.48547040902781535,-0.005225552821226276,0.4673660291159187,0.4782153010525169,875.6899774074554,273.59510946273804,1726774158.5025182,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.0015859603881836,0.003014087677001953,9.775161743164062e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005282769016,1.0,True,0.4971142893304645,0.9468795914661325,0.4971142893304645,0.49847154164436935,1.108647909501513,0.4742375412670964,0.05312040853386748,0.6517397217832306,-0.012550194470508591,0.5015284583556306,0.058891829872938506,0.896501757303511,0.5007642309632133,0.9939047990989702,0.5257624587329036,0.5,0.9411081701270615,-0.02729091708853426,0.6849201708355126,0.4833931046646512,-0.005771421339071048,0.45451378595162567,0.4862466338937514,864.3649568557739,265.81897258758545,1726775289.7705145,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.0575439929962158,0.003082275390625,8.344650268554688e-06,2.384185791015625e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005282769016,1.0,True,0.4963680867080778,0.9475199535115099,0.4963680867080778,0.49807608893366356,1.1384112071134975,0.46763690569590455,0.05248004648849014,0.6511973925517595,-0.015781472082481998,0.5019239110663365,0.05974387307233453,0.8716831383083159,0.5009619590938136,0.9923338537020517,0.5323630943040955,0.5,0.9402561269276655,-0.03428700537043183,0.6843384354952204,0.48279665901872804,-0.0072638265838443905,0.42394959946216665,0.44793895172285736,864.3649568557739,265.81897258758545,1726775289.7705145,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.0575439929962158,0.003082275390625,8.344650268554688e-06,2.384185791015625e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005282769016,1.0,True,0.4955685301255207,0.9515636435674075,0.4955685301255207,0.4976605852923353,1.1829811406498525,0.4580891613668773,0.04843635643259246,0.6514268157087383,-0.019803720085770568,0.5023394147076647,0.05729929618155105,0.8374486169879725,0.5011697137555523,0.9906859201600731,0.5419108386331227,0.5,0.942700703818449,-0.04425025334078736,0.6849415916833973,0.4830489166600873,-0.008862939748958576,0.49886053651932327,0.5206747795276135,855.8405609130859,275.0545608997345,1726776421.720983,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.0340068340301514,0.0031287670135498047,8.821487426757812e-06,1.430511474609375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005282769016,1.0,True,0.4970328368984781,0.9516757427812972,0.4970328368984781,0.4984362094087294,1.1228022228295533,0.4710754441678826,0.048324257218702815,0.6528168810785269,-0.013450940229879402,0.5015637905912707,0.05425858342174661,0.8850751449911667,0.500781897207721,0.9937643401672711,0.5289245558321174,0.5,0.9457414165782534,-0.030488346423388046,0.6865797599406107,0.48457917257837857,-0.005934326203043794,0.4754127378653887,0.48384737048897786,855.8405609130859,275.0545608997345,1726776421.720983,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.0340068340301514,0.0031287670135498047,8.821487426757812e-06,1.430511474609375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005282769016,1.0,True,0.4950969332445535,0.94789982555868,0.4950969332445535,0.49740027380281293,1.1882169036101309,0.4569930880024713,0.05210017444132003,0.6501010389141872,-0.021147689782110277,0.5025997261971871,0.06190630795221297,0.8328907635817927,0.5012998718839369,0.9896548841486352,0.5430069119975287,0.5,0.938093692047787,-0.045606638194715776,0.6830871535003867,0.48159236924759774,-0.00980613351089299,0.4795078972655489,0.503791678521768,858.5453374385834,274.0646650791168,1726777555.454548,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.0969316959381104,0.0030329227447509766,8.58306884765625e-06,1.430511474609375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005282769016,1.0,True,0.49661901889915605,0.9479689900639657,0.49661901889915605,0.4982103408741366,1.129960233522295,0.46949233335981566,0.0520310099360343,0.6515401083370792,-0.014778135743239551,0.5017896591258634,0.058792972137722166,0.8786741919704393,0.5008948324289787,0.9928668951489313,0.5305076666401843,0.5,0.9412070278622778,-0.03229732576604771,0.6847766600756764,0.4831735169620802,-0.006761962201687899,0.45249500137319043,0.46569379947929707,858.5453374385834,274.0646650791168,1726777555.454548,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.0969316959381104,0.0030329227447509766,8.58306884765625e-06,1.430511474609375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
10,train,0.8000005282769016,1.0,True,0.4911893376182431,0.955302300754445,0.4911893376182431,0.4953456205926419,1.394233373550341,0.41767022841099577,0.04469769924555505,0.6482450026782236,-0.039150682931277395,0.5046543794073581,0.062319024009068746,0.7040099660416453,0.502327240120347,0.9815541899673041,0.5823297715890042,0.5,0.9376809759909313,-0.08698415099636225,0.6815248821357457,0.4795580589401092,-0.017621324763513746,0.47484284412846267,0.4931785884157271,852.9268498420715,271.59752368927,1726773008.1641536,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.4608352184295654,0.002986907958984375,9.059906005859375e-06,2.384185791015625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
11,test,0.8000005282769016,1.0,True,0.4928132140011358,0.9554837488388883,0.4928132140011358,0.49621068806477,1.3228837025316453,0.4304993826897697,0.04451625116111167,0.6498047023420521,-0.03245671078094703,0.50378931193523,0.05888982315884006,0.7445527958633309,0.5018946831735439,0.9849567593219715,0.5695006173102303,0.5,0.9411101768411599,-0.0732899292454603,0.6833658817903548,0.481267194063855,-0.014373571997728374,0.44963081829051754,0.45795986604948763,852.9268498420715,271.59752368927,1726773008.1641536,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.4608352184295654,0.002986907958984375,9.059906005859375e-06,2.384185791015625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
12,train,0.8000005282769016,1.0,True,0.4965260313774261,0.9536360284608992,0.49652603137742607,0.4981719073148611,1.1498563866403961,0.4651473494760785,0.04636397153910072,0.6528153765940443,-0.01596419437121499,0.5018280926851388,0.05331190878424852,0.8633376122294829,0.5009140493972645,0.9927142672489406,0.5348526505239215,0.5,0.9466880912157515,-0.03668074320906034,0.686741153589339,0.48457751465689597,-0.006947937245147751,0.49441716520706525,0.5167826595671703,875.6899774074554,273.59510946273804,1726774158.5025182,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.038909196853637695,8.344650268554688e-06,3.814697265625e-06,1.0015859603881836,0.003014087677001953,9.775161743164062e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
