,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,f1_score,precision,false_discovery_rate,false_omission_rate,accuracy,negative_predictive_value,specificity,fall_out,negative_likelyhood_ratio,diagnostic_odds_ratio,fowlkes_mallows_index,prevalence,threat_score,markedness,matthews_correlation_coefficient,recall,positive_likelyhood_ratio,miss_rate,informedness,prevalence_threshold,balanced_accuracy,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000004402949096,1.0,True,0.5397620633286917,0.7197454741946759,0.28025452580532406,0.6312876660731407,0.5091058323925105,0.3687123339268593,0.6637427544287969,0.33625724557120307,0.8560740176968906,1.4999841475803952,0.5574735796130839,0.6666658105392466,0.369639803057787,0.08845780812153525,0.09192583526253628,0.4317870734989392,1.2840974557007947,0.5682129265010608,0.09552982792773612,0.46878364114671095,0.5477649139638681,0.6286501004593905,0.6783898655787457,3.2419188022613525,3.692239284515381,1724282192.1176996,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5,85299,2271205,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005547761917114258,6.67572021484375e-06,8.106231689453125e-06,1.4001734256744385,0.0029740333557128906,8.821487426757812e-06,3.337860107421875e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000004402949096,1.0,True,0.5650050223810277,0.7320537118714726,0.2679462881285274,0.6195199450384301,0.5277679119176003,0.3804800549615699,0.6632426625337924,0.3367573374662076,0.814136499931091,1.677922141143298,0.5803159701720106,0.6666647098018381,0.393733100946818,0.11253376683304239,0.11778085720488371,0.4600299401197605,1.3660576591472868,0.5399700598802395,0.12327260265355289,0.46108772489860633,0.5616363013267764,0.6308762213729593,0.6812711432332504,3.2419188022613525,3.692239284515381,1724282192.1176996,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5,85299,2271205,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005547761917114258,6.67572021484375e-06,8.106231689453125e-06,1.4001734256744385,0.0029740333557128906,8.821487426757812e-06,3.337860107421875e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8,1.0,True,0.5399997867842701,0.719706587929661,0.280293412070339,0.6312667437923699,0.5092138912840082,0.3687332562076301,0.6634301464194274,0.33656985358057256,0.8559975437532096,1.4998298256462634,0.5576639852871407,0.6666656882349704,0.36986281364637,0.08843984413729111,0.09191926335818432,0.43210542421313797,1.283850646801006,0.5678945757868621,0.09553557063256535,0.46880757539357815,0.5477677853162827,0.6283578834665715,0.6782749587531215,3.189035654067993,3.8346993923187256,1724282200.4276521,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5,85299,2271205,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005547761917114258,6.67572021484375e-06,8.106231689453125e-06,1.2637896537780762,0.0029304027557373047,9.059906005859375e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8,1.0,True,0.563381311821345,0.7321174615243808,0.26788253847561916,0.6198626688951089,0.5268857761783716,0.3801373311048911,0.6649436648864272,0.3350563351135728,0.8153230967251562,1.6760284985809368,0.5789684146600617,0.6666642205928109,0.3921578609948335,0.11225479262927207,0.11740893917747888,0.4578560719970236,1.3665047456626236,0.5421439280029764,0.1227997368834508,0.4610470693003049,0.5613998684417254,0.631765787803866,0.6815685231549896,3.189035654067993,3.8346993923187256,1724282200.4276521,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5,85299,2271205,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005547761917114258,6.67572021484375e-06,8.106231689453125e-06,1.2637896537780762,0.0029304027557373047,9.059906005859375e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8,1.0,True,0.5398628185950898,0.7202563549303792,0.2797436450696208,0.63099709472516,0.5093670804333524,0.36900290527484003,0.6646361800139793,0.3353638199860207,0.8550057050922758,1.5056682593164121,0.5576360050936262,0.6666659328426252,0.3697343136455482,0.08925926020521935,0.09274576506321489,0.4317322742773109,1.2873549516918885,0.5682677257226891,0.09636845429129015,0.46846818987079714,0.5481842271456451,0.6294606191741227,0.6789890527357453,3.2287392616271973,3.664741039276123,1724282208.630632,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5,85299,2271205,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005547761917114258,6.67572021484375e-06,8.106231689453125e-06,1.292191982269287,0.003063678741455078,9.775161743164062e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8,1.0,True,0.5648318857713289,0.7324626027897055,0.26753739721029446,0.6193391132328748,0.5278368096934971,0.3806608867671252,0.6642303949842157,0.33576960501578434,0.8135140121557055,1.682715539215076,0.5802314825976793,0.6666642205928109,0.393564962997312,0.11312348955683071,0.11837469469364359,0.45963926638062175,1.368912669623608,0.5403607336193783,0.12386966136483735,0.4608283432769806,0.5619348306824187,0.6316494872290416,0.6811566188140327,3.2287392616271973,3.664741039276123,1724282208.630632,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5,85299,2271205,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005547761917114258,6.67572021484375e-06,8.106231689453125e-06,1.292191982269287,0.003063678741455078,9.775161743164062e-06,1.9073486328125e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000004402949096,1.0,True,0.5395657260839642,0.7198933000316794,0.2801066999683206,0.6312429113379483,0.5090640044528411,0.3687570886620517,0.6642259759644067,0.3357740240355933,0.8559094355867704,1.5013726425976486,0.5573342974111974,0.6666658105392466,0.36945567200170026,0.0886503886937311,0.09211195949382395,0.431482719810233,1.2850390111311714,0.568517280189767,0.09570869577463981,0.4686923775346069,0.5478543478873199,0.6291704129027079,0.6786858769381667,3.1987240314483643,3.8247480392456055,1724282216.9740422,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5,85299,2271205,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005547761917114258,6.67572021484375e-06,8.106231689453125e-06,1.29970383644104,0.0028870105743408203,9.5367431640625e-06,1.6689300537109375e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000004402949096,1.0,True,0.5655232855369184,0.7332033414461364,0.2667966585538636,0.6187786459910756,0.5285237509576407,0.38122135400892443,0.6650434568205634,0.33495654317943657,0.8115811042556977,1.693113026858892,0.5809187441098399,0.6666647098018381,0.39423664381236845,0.11442469545506073,0.11974216941831528,0.4602632969355407,1.3740985399678465,0.5397367030644593,0.12530675375610412,0.4603586346515624,0.5626533768780521,0.632745767249973,0.6821945682815413,3.1987240314483643,3.8247480392456055,1724282216.9740422,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5,85299,2271205,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005547761917114258,6.67572021484375e-06,8.106231689453125e-06,1.29970383644104,0.0028870105743408203,9.5367431640625e-06,1.6689300537109375e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8,1.0,True,0.5400206615978532,0.7205517444049554,0.2794482555950446,0.6308109604342329,0.5095703426698921,0.3691890395657671,0.6650540954355979,0.3349459045644021,0.8543244308686262,1.5090837394954322,0.5578121963229179,0.666665443627495,0.36988239997209205,0.08974078397072249,0.09324311580470612,0.4318280384201338,1.2892471068775333,0.5681719615798662,0.09688213385573174,0.4682853340573525,0.5484410669278659,0.629934308116104,0.6790985851861365,3.2502975463867188,3.812896728515625,1724282225.3993182,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5,85299,2271205,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005547761917114258,6.67572021484375e-06,8.106231689453125e-06,1.3399322032928467,0.002901792526245117,9.5367431640625e-06,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8,1.0,True,0.5651241777728482,0.7328195269800956,0.26718047301990444,0.6190799417614389,0.528144322483023,0.3809200582385611,0.6646604027791231,0.3353395972208769,0.8126167381292451,1.687638513299524,0.5805284812363923,0.6666651990201993,0.39384883975233975,0.11373958521865668,0.11902032192386561,0.45988583152995877,1.3714033038187476,0.5401141684700412,0.12454623430908196,0.4606025244387444,0.562273117154541,0.6322416629950435,0.682021862394083,3.2502975463867188,3.812896728515625,1724282225.3993182,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5,85299,2271205,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005547761917114258,6.67572021484375e-06,8.106231689453125e-06,1.3399322032928467,0.002901792526245117,9.5367431640625e-06,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
10,train,0.8000005282769016,1.0,True,0.654652969271382,0.4979898915011947,0.5020101084988053,0.5469961630309372,0.4961446817408914,0.45300383696906277,0.0371620543354446,0.9628379456645554,1.2074868210626064,0.821534234212931,0.6896693012245891,0.5,0.48660528051028784,-0.04900627152974257,-0.019438866913452105,0.9551273091463381,0.9919917608638749,0.044872690853661856,-0.00771063651821724,0.5010050583103997,0.4961446817408914,0.9335251441063632,0.9339532041815383,3.130925178527832,2.6042110919952393,1724282735.105568,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006150960922241211,4.5299530029296875e-06,2.86102294921875e-06,1.1437022686004639,0.004021167755126953,1.1920928955078125e-05,3.5762786865234375e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
11,test,0.8000005282769016,1.0,True,0.6553535390073808,0.4982673426169544,0.5017326573830456,0.5420420420420421,0.4966718467288568,0.4579579579579579,0.03625309813209599,0.963746901867904,1.183606557377048,0.8390400493750448,0.6905700453803179,0.5,0.48737981173400646,-0.043774699425087715,-0.01706979256376108,0.9570905953256176,0.9930933043422652,0.04290940467438242,-0.006656306542286439,0.5008663312923367,0.4966718467288568,0.9362994123190543,0.9367514695942903,3.130925178527832,2.6042110919952393,1724282735.105568,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006150960922241211,4.5299530029296875e-06,2.86102294921875e-06,1.1437022686004639,0.004021167755126953,1.1920928955078125e-05,3.5762786865234375e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
12,train,0.8000005282769016,1.0,True,0.6544685385186572,0.49794314526245925,0.5020568547375408,0.5474547309022029,0.49605718593683795,0.45254526909779713,0.03760008364378752,0.9623999163562125,1.2097236857510822,0.8198618405874896,0.6894155835772413,0.5,0.48640151289969075,-0.04951158563974367,-0.019759300400056343,0.9545142882298884,0.9918062876021642,0.045485711770111625,-0.007885628126324096,0.5010284317197269,0.49605718593683795,0.932686507962861,0.9332032319408907,3.1254239082336426,2.552391290664673,1724282741.8393502,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006150960922241211,4.5299530029296875e-06,2.86102294921875e-06,1.027578592300415,0.003075122833251953,8.58306884765625e-06,1.1920928955078125e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
13,test,0.8000005282769016,1.0,True,0.6555801854783986,0.4985676506948442,0.5014323493051558,0.5341089081872303,0.4972507516959935,0.46589109181276966,0.03755178227890453,0.9624482177210955,1.146424384525204,0.867293981454731,0.6907272792415512,0.5,0.4876305588456983,-0.035541257492386125,-0.013979394971400008,0.9569497211130824,0.9942869688916537,0.04305027888691759,-0.005498496608013048,0.500716176121899,0.4972507516959935,0.9359000773029842,0.9360271581962678,3.1254239082336426,2.552391290664673,1724282741.8393502,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006150960922241211,4.5299530029296875e-06,2.86102294921875e-06,1.027578592300415,0.003075122833251953,8.58306884765625e-06,1.1920928955078125e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
14,train,0.8000005282769016,1.0,True,0.6547567231990441,0.49806538832530856,0.5019346116746914,0.5452532112800826,0.4962894075048288,0.45474678871991736,0.037287520016728755,0.9627124799832713,1.1990259740259754,0.8275812210666009,0.6897807838758919,0.5,0.48671993719684864,-0.047187822954774084,-0.01871335254407687,0.9552912949929288,0.9922913796749873,0.04470870500707125,-0.0074211849903425,0.5009673094577287,0.49628940750482875,0.9338186566774473,0.9342968113073883,3.1381752490997314,2.571873426437378,1724282748.6577952,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006150960922241211,4.5299530029296875e-06,2.86102294921875e-06,1.0847046375274658,0.003719329833984375,1.2874603271484375e-05,1.6689300537109375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
